pid,experiment,smoothing,prior_param
610abbbb784eea92360657e0,experiment_3,2.27359761,0.0
611231e33c2e4198943389a9,experiment_3,2.07944237,0.0
61169988cf61a1a4c41fdf9c,experiment_3,1.89711998,0.0
611ab1da8239817bc8d5f1e1,experiment_3,1.89712013,0.0
611e58f3b7cfe10fe9eef3df,experiment_3,0.518829075,2.16419353e-05
61254c5a6facc8ed023a64de,experiment_3,1.72276674,0.0
61267b828ead584bcf092e35,experiment_3,1.55334904,0.0
61322612510b85268a0c4b63,experiment_3,1.21923985,0.0
613a469755c08ab3b9d682ad,experiment_3,1.38629517,0.0
613aa0162f4662712a517461,experiment_3,0.693231444,3.3257677e-06
613af39692992acbacdbbbbc,experiment_3,0.05309089,0.0
613e18e92e4ed15176362aa2,experiment_3,2.27359776,0.0
613f0f91c83af0d188a54669,experiment_3,1.55334912,0.0
614edf1b57efb3bbc5edd55c,experiment_3,1.13250688,0.0
6151d444ac15808872e32dc8,experiment_3,0.693146665,1.16389654e-07
615230e2db85b00b50240ab8,experiment_3,2.9957323,0.0
615373f88839471e0ab77399,experiment_3,1.89712013,0.0
615ec387ec57223c894f6fc2,experiment_3,1.72276674,0.0
616c3f3a378cb38f3f7ecac3,experiment_3,1.89712002,0.0
61717173748006894b2b54ff,experiment_3,1.21923989,0.0
6176966806de000024ed0ddf,experiment_3,0.12873377,0.0
