session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
624481f1d38c1a20623dce3c,5fa107215a15fe19519b484d,APPROVED,2022-03-30 16:14:41.449000,2022-03-30 16:30:57.536000,976.087,29,190,0,100,2022-03-31 10:52:25.776000,29551DF4,Italy,Italy,Full-Time,Italian,Italy,Male,No
624481f1de41d04af9eda439,614e47b9f3b2b76d064f5f3d,TIMED-OUT,2022-03-30 16:14:43.519000,,70775.680985,24,77,1,100,,,Mexico,Mexico,DATA EXPIRED,Spanish,Mexico,Female,DATA EXPIRED
624481f1de41d04af9eda43b,5acc65f668b65b00018db322,APPROVED,2022-03-30 16:14:47.758000,2022-03-30 16:42:42.241000,1674.483,42,45,0,100,2022-03-31 10:52:25.852000,29551DF4,Spain,Spain,Part-Time,Spanish,Spain,Female,No
624481f1f5c0033d377b13ea,5b339152afe1d00001c6c509,APPROVED,2022-03-30 16:15:00.712000,2022-03-30 16:35:42.921000,1242.209,22,239,0,100,2022-03-31 10:52:25.938000,29551DF4,Portugal,Portugal,Part-Time,Portuguese,Portugal,Male,Yes
624481f23b903fe090e7d39c,5e9375259c9687000b26ec11,RETURNED,2022-03-30 16:14:47.651000,,70771.590051,33,741,6,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
624481f24ff9b06d107bd311,60259da406ab01158d9b9f83,APPROVED,2022-03-30 16:14:42.939000,2022-03-30 16:32:45.069000,1082.13,20,52,0,100,2022-03-31 10:52:26.042000,29551DF4,Vietnam,Germany,Unemployed (and job seeking),Vietnamese,Vietnam,Male,Yes
624481f265cf546ab39a3950,5831960ab232860001b110dc,APPROVED,2022-03-30 16:17:48.889000,2022-03-30 16:42:32.282000,1483.393,37,652,7,99,2022-03-31 10:52:26.139000,29551DF4,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,Female,No
624481f2a99d66817415aeaf,5db09b3a9611830016dd495b,RETURNED,2022-03-30 16:14:45.740000,,70773.54127,35,479,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
624481f2b3e995990bebd72e,615fad239fd8b6f7c048057a,RETURNED,2022-03-30 16:14:49.738000,,70769.55654,35,888,19,92,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
624481f2b7eb853ac367473e,5f2f0ce447c28c13b4644609,RETURNED,2022-03-30 16:14:42.484000,,70776.824163,27,195,3,98,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
624481f335e6f3c14b841071,5e06ecd524f9390991997bb7,RETURNED,2022-03-30 16:14:52.512000,,70766.809276,26,1737,4,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
624481f365cf546ab39a3951,5cf9179b8c98dc0001d5a431,APPROVED,2022-03-30 16:14:43.633000,2022-03-30 16:44:37.484000,1793.851,28,550,2,100,2022-03-31 10:52:26.241000,29551DF4,Greece,Greece,Full-Time,Greek,Greece,Male,Yes
624481f3d36ea54c95034f51,5eea0a01da0cfc0a744df4d9,APPROVED,2022-03-30 16:14:43.270000,2022-03-30 16:45:07.327000,1824.057,23,118,1,100,2022-03-31 10:52:26.327000,29551DF4,Poland,Poland,Full-Time,Polish,Poland,Male,Yes
