submission_id,participant_id,status,started_at,completed_at,reviewed_at,Archived at,time_taken,Completion code,Total approvals,Total rejections,Approval rate,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
62a4876e129b6c062212660e,611f7047eaa28b1cf9ae51e2,APPROVED,2022-06-11T12:16:18.052000Z,2022-06-11T13:10:50.427000Z,2022-06-27T11:25:11.277000Z,,3273,29551DF4,64,3,96,34,Male,Black,South Africa,South Africa,South Africa,English,No,Part-Time
62a487745af3272e8c0a210f,5f39653865d6044d868f1bd1,APPROVED,2022-06-11T12:15:48.660000Z,2022-06-11T12:58:37.498000Z,2022-06-27T11:25:11.367000Z,,2569,29551DF4,356,1,100,32,Male,White,Czech Republic,Czech Republic,Czech Republic,Czech,No,Full-Time
62a48774d90e7d22b9104c72,61002bd1c5ea49ea62f4a431,APPROVED,2022-06-11T12:17:16.739000Z,2022-06-11T12:56:29.083000Z,2022-06-27T11:25:11.493000Z,,2353,29551DF4,59,0,100,20,Male,Black,South Africa,South Africa,South Africa,English,Yes,Other
62a4877ae825f3f818ccb272,5f059570e74e9a0296628aeb,APPROVED,2022-06-11T12:16:00.673000Z,2022-06-11T12:50:40.415000Z,2022-06-27T11:25:11.619000Z,,2080,NOCODE,37,0,100,42,Male,White,Greece,Greece,Greece,Greek,No,Full-Time
62a4877c4c5a5591adec3d8b,5ea1fd326a1a5b0f94637a31,APPROVED,2022-06-11T12:16:10.217000Z,2022-06-11T12:59:52.059000Z,2022-06-27T11:25:11.759000Z,,2622,29551DF4,50,0,100,22,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Other
62a4878542cf2458db3641f0,60d9a60a626e5d9fce67d7b2,APPROVED,2022-06-11T12:16:05.115000Z,2022-06-11T12:40:33.481000Z,2022-06-27T11:25:11.839000Z,,1469,29551DF4,137,0,100,28,Male,White,Canada,Portugal,Portugal,Portuguese,No,Full-Time
62a4879e996e0debb416bd93,60f3d8fe0f2cf8ee0180546b,APPROVED,2022-06-11T12:16:30.313000Z,2022-06-11T12:35:43.371000Z,2022-06-27T11:25:11.909000Z,,1154,29551DF4,57,2,99,35,Male,White,South Africa,South Africa,South Africa,English,DATA_EXPIRED,DATA_EXPIRED
62a4879fd11e7e9f10d28b19,61712faf3df2dd32312349b3,APPROVED,2022-06-11T12:16:31.086000Z,2022-06-11T12:50:16.273000Z,2022-06-27T11:25:12.043000Z,,2026,29551DF4,61,2,98,22,Male,Black,South Africa,South Africa,South Africa,English,DATA_EXPIRED,DATA_EXPIRED
62a487d19e3dcac4edfa608f,604a3f554e0e49706d1e3dca,APPROVED,2022-06-11T12:17:23.732000Z,2022-06-11T12:33:30.818000Z,2022-06-27T11:25:12.136000Z,,968,29551DF4,160,4,97,25,Male,White,Poland,Poland,Poland,Polish,Yes,Full-Time
62a488ff478a980909b8d5ee,611df8db8ecf47bb14385383,APPROVED,2022-06-11T12:31:34.216000Z,2022-06-11T13:00:41.788000Z,2022-06-27T11:25:17.423000Z,,1748,29551DF4,167,2,100,25,Female,Black,South Africa,South Africa,South Africa,English,No,Part-Time
62a48906d11e7e9f10d28b22,6136118bad9cfc727875ff1d,APPROVED,2022-06-11T12:23:04.549000Z,2022-06-11T13:20:06.335000Z,2022-06-27T11:25:17.493000Z,,3422,29551DF4,106,1,100,26,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
62a4890870a645d250b96943,5ea2bd8b006ae70616ae21ab,APPROVED,2022-06-11T12:22:32.932000Z,2022-06-11T12:50:47.634000Z,2022-06-27T11:25:17.559000Z,,1695,29551DF4,154,3,99,29,Female,White,Poland,Poland,Poland,Polish,No,Full-Time
62a4897e9e1b47352c266ee6,60f88d7fef1959734061e5a7,APPROVED,2022-06-11T12:24:30.388000Z,2022-06-11T12:46:12.400000Z,2022-06-27T11:25:17.686000Z,,1303,29551DF4,176,2,100,21,Female,White,Poland,Poland,Poland,Polish,Yes,Unemployed (and job seeking)
62a489ac6130c66831ac916d,5fad5859d0c7c602ce4d46db,APPROVED,2022-06-11T12:25:16.610000Z,2022-06-11T13:26:43.160000Z,2022-06-27T11:25:12.217000Z,,3687,29551DF4,77,1,100,24,Male,Other,Portugal,Portugal,Portugal,Portuguese,DATA_EXPIRED,DATA_EXPIRED
62a48a0266fa4fc0e6b5b184,5f83c8f31854ab56a1f68bea,APPROVED,2022-06-11T12:26:42.259000Z,2022-06-11T12:59:53.788000Z,2022-06-27T11:25:12.305000Z,,1992,29551DF4,238,2,99,25,Male,White,Poland,Poland,Poland,Polish,Yes,Part-Time
62a48a2b35ec477bc4927cc0,610816a86c5fb2400acb3bb8,APPROVED,2022-06-11T12:27:23.169000Z,2022-06-11T12:53:30.472000Z,2022-06-27T11:25:17.827000Z,,1568,29551DF4,123,0,100,24,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Other
62a48a73ddc4729d709867ab,5ec2cc6ace4b500d365da245,APPROVED,2022-06-11T12:28:35.461000Z,2022-06-11T13:01:30.021000Z,2022-06-27T11:25:12.377000Z,,1975,29551DF4,299,3,100,23,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
62a48aa4e9c1d0283f91c1cc,610fcfe70592d59fc629f2a5,APPROVED,2022-06-11T12:29:46.772000Z,2022-06-11T12:57:37.912000Z,2022-06-27T11:25:17.900000Z,,1672,29551DF4,172,0,100,21,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Unemployed (and job seeking)
62a48b33ce04412a277c53c0,5c3885dcf5ebd5000184defb,APPROVED,2022-06-11T12:31:51.889000Z,2022-06-11T12:50:11.728000Z,2022-06-27T11:25:12.442000Z,,1100,29551DF4,441,0,100,30,Male,White,Greece,Greece,Greece,Greek,Yes,Unemployed (and job seeking)
62a48b6b7f41887e0853b973,5eeb40268b898027a055bfa3,APPROVED,2022-06-11T12:32:43.453000Z,2022-06-11T13:01:32.506000Z,2022-06-27T11:25:17.990000Z,,1730,29551DF4,171,2,99,20,Female,White,Poland,Poland,Poland,Polish,Yes,Unemployed (and job seeking)
62a48dc2501c9181213b7dbd,611cf2fd04c64ae9781b55e5,APPROVED,2022-06-11T12:42:48.384000Z,2022-06-11T13:03:35.799000Z,2022-06-27T11:25:18.087000Z,,1248,29551DF4,80,0,100,23,Female,White,Italy,Italy,Italy,Italian,Yes,Other
62a48e2c929abcbe0ec45996,5ba57e0438803d0001264be3,APPROVED,2022-06-11T12:44:34.935000Z,2022-06-11T13:19:54.657000Z,2022-06-27T11:25:18.161000Z,,2120,29551DF4,182,3,99,27,Female,Black,Botswana,South Africa,Botswana,English,Yes,Part-Time
62a48e82e68d70fd5fa1f3be,603e80821e9e5ed5aa62a889,APPROVED,2022-06-11T12:45:54.590000Z,2022-06-11T13:12:17.699000Z,2022-06-27T11:25:18.234000Z,,1584,29551DF4,180,0,100,22,Female,White,Poland,Poland,Poland,Polish,Yes,Part-Time
