,part_idx,participant,mean_accuracy,inters_real,int_range,int_length,scenario,accuracy,difficulty
8,8,5b7af290db11320001c3ff1d,0.9133802118531011,9.0,107.33333333333333,3.4,crime,0.8892302448756577,1
9,9,5b8c8e7d0c740e00019d55c3,0.9564635387841178,9.2,76.19565217391305,4.247826086956521,crime,0.9098330365332568,2
10,10,5ba57e0438803d0001264be3,0.7801747122912115,6.6,67.6969696969697,3.56969696969697,crime,0.8314500343841895,2
11,11,5bb511c6689fc5000149c703,0.9013008513882561,7.2,101.72222222222223,3.566666666666667,crime,0.8769085090206673,2
12,12,5bb64eb80b5da70001c7cfca,0.7876354738410876,7.6,107.39473684210526,2.0684210526315785,crime,0.6423591511807046,1
13,13,5bc1c9dd9fffb200019bebe1,0.93008192472997,12.4,99.29032258064517,3.2806451612903222,crime,1.0,1
14,14,5bc1f0157870b900012dcb8a,0.8365423712534328,9.6,53.208333333333336,3.1458333333333335,crime,0.9183503419072274,2
15,15,5bf1ecfcaf38d100016c1171,0.8843251870148412,5.4,74.0,4.2444444444444445,crime,0.8438262381113939,2
16,16,5c0e104111d18f0001995175,0.6941008814773788,5.2,130.23076923076923,6.607692307692308,crime,1.0,1
17,17,5c3885dcf5ebd5000184defb,0.8825237892138661,9.0,105.95555555555555,4.644444444444444,crime,0.8817375208021835,1
18,18,5c7e388fffd1190017be7f83,0.8162141395834217,5.2,83.96153846153847,5.392307692307692,crime,0.8769085090206673,1
19,19,5c88d569d47e6a0001a6192a,0.7527373096042169,8.0,99.125,3.9799999999999995,crime,0.5785363847882377,1
20,20,5cb450df19eba3001270131f,0.9190997408948498,6.4,120.5,4.9375,crime,0.8817375208021835,1
21,21,5d00bb3b51669b000136a986,0.6732473149188621,10.8,23.666666666666668,1.1925925925925924,crime,0.6525958331101744,1
22,22,5d77679546b49c0001fe0c03,0.724164627613362,9.0,135.55555555555554,3.7466666666666666,crime,0.9163757989992909,1
23,23,5d7e41aea60f7b00013cf1af,0.8386988682850947,9.2,152.6086956521739,3.865217391304348,crime,0.7664503167515431,1
24,24,5dab6e7d80e1780016d5bc9b,0.8101501989094129,9.6,105.27083333333333,3.275,crime,0.8259223440443022,1
25,25,5ddb0d8c9dac7ca8a61b00fd,0.8791882074709012,4.8,139.58333333333334,5.641666666666667,crime,0.8116891057113227,2
26,26,5ddd2275946f7cc8b0efb547,0.7695318166128822,6.4,95.625,3.8687500000000004,crime,0.9098330365332568,2
27,27,5e04595a4fa02aefdb9c9ced,0.8903485063627963,13.6,64.69117647058823,2.211764705882353,crime,0.9211889593760899,2
28,28,5e3df819d96094073a9c939a,0.6364676412938675,3.0,31.8,0.84,crime,0.5776513544731339,1
29,29,5e482f13410cd9000bc937bb,0.8478162980788845,6.2,112.80645161290323,3.109677419354839,crime,0.7951633774003244,2
30,30,5e6de0802649e039418cabd5,0.8624654026099312,9.0,117.44444444444444,2.6044444444444443,crime,0.8675467642934956,1
31,31,5e7b1409f898741063f7a2f1,0.8574150604386309,11.8,101.98305084745763,2.6271186440677967,crime,0.8686935671402775,2
32,32,5e7cb947659c7606131b5257,0.8354092571059949,6.2,122.70967741935483,3.2064516129032263,crime,1.0,1
33,33,5e89d0a17ec160000888ee98,0.8150508962250109,8.4,123.80952380952381,4.747619047619048,crime,0.8143046618229481,1
34,34,5e8ef2059eeb7a1af7502f3c,0.8865267505707942,8.6,98.06976744186046,3.7674418604651163,crime,0.7855774930324411,2
35,35,5e99df633de3190530449f5c,0.857291224935304,12.4,77.38709677419355,1.8258064516129031,crime,0.8377785788692375,2
36,36,5ea1fd326a1a5b0f94637a31,0.8344464844550856,10.4,72.61538461538461,3.2192307692307693,crime,0.68637497590641,1
37,37,5ea2bd8b006ae70616ae21ab,0.8975630192308653,11.6,62.46551724137931,2.606896551724138,crime,0.8984653834866381,2
38,38,5ea98f445ef6ee093f4f05ec,0.8218665284344426,5.0,116.56,6.336000000000001,crime,0.8053752639596192,2
39,39,5ec2cc6ace4b500d365da245,0.8318395013455524,10.2,85.43137254901961,3.4235294117647053,crime,0.8726570920065974,2
