,part_idx,participant,mean_accuracy,time_taken,inters_real,int_range,int_length,scenario,accuracy,difficulty
51,51,5fa107215a15fe19519b484d,0.8227488360111775,16.268116666666668,9.25,67.05405405405405,2.816216216216216,crime,0.8026144915120693,1.0
52,52,5fad2378719b9d3a961834c9,0.8828696928040136,21.339083333333335,6.75,71.18518518518519,5.303703703703706,crime,0.8960249510179927,1.0
53,53,5fb26f723d8b23832ff835c6,0.7668335022486896,24.400399999999998,9.0,109.30555555555556,1.8499999999999999,crime,0.8634952734420129,2.0
54,54,5fbbf3f438be4c025df6cdd4,0.8910301554591786,27.5656,5.25,124.42857142857143,6.4190476190476184,crime,0.8960249510179927,2.0
55,55,5fbd9bcc54453f1b0b28d89a,0.7514286761905125,29.536233333333332,3.0,61.333333333333336,0.6000000000000001,crime,1.0,1.0
56,56,5fbfa7490dcefd0251d79dff,0.8382658102535104,20.508666666666667,6.5,80.84615384615384,3.876923076923077,crime,0.7602683492573079,1.0
57,57,5fd0c81fc79aef1882cbee94,0.9011680459911076,23.303333333333335,17.5,54.628571428571426,1.5685714285714287,crime,0.8686935671402775,1.0
58,58,5fd8d7e42ce9082dd7998e6d,0.6295957479206136,20.657899999999998,15.75,73.58730158730158,1.2253968253968253,crime,0.5847726007313001,2.0
59,59,5ff4a242cbe069bc27d9278b,0.9026331178225027,20.38791666666667,10.25,104.78048780487805,2.2878048780487807,crime,1.0,1.0
60,60,6004c0c7e2b1453733edd35e,0.8210409682702713,18.43338333333333,13.5,55.7962962962963,0.6481481481481481,crime,0.8356010126946427,2.0
61,61,6011a4b308baec1050c17853,0.6524114833081696,23.618283333333334,9.25,75.51351351351352,2.859459459459459,crime,0.8,1.0
62,62,60199372bd48490e12a0d92e,0.7371928039055136,26.241183333333332,10.25,104.73170731707317,3.7414634146341457,crime,0.7538170180413345,2.0
63,63,6021d74808e9e926a4ff44c6,0.8053711027956257,21.464433333333332,11.75,95.12765957446808,2.6425531914893616,crime,0.8892302448756577,1.0
64,64,60259da406ab01158d9b9f83,0.8249615182246088,18.035500000000003,10.0,50.0,2.2350000000000003,crime,0.8315696157866962,2.0
65,65,602cf366166df76360257563,0.8096188140382213,27.599733333333333,8.5,150.41176470588235,3.835294117647058,crime,0.8304841240947974,2.0
66,66,602d29200724e36ae7a9def2,0.8892353597355123,74.69463333333333,5.0,106.15,5.6,crime,0.9221501055838477,1.0
67,67,603440fb5478fc266d855faf,0.8675037681406457,20.055366666666664,5.0,113.0,5.93,crime,0.8756459991565483,2.0
68,68,603a95f65fc5996c59b3ab1d,0.91676365234613,29.088199999999997,14.75,65.01694915254237,0.6440677966101693,crime,1.0,1.0
69,69,604b169fe4b7991ec08da3a6,0.8415410647351652,22.130883333333333,5.5,123.0,6.345454545454545,crime,0.7867992836443896,2.0
70,70,604fa685e33606f9a0ee8189,0.7136463936372328,26.465033333333334,7.0,103.17857142857143,5.3428571428571425,crime,0.5326769804538822,2.0
