utid,pid,experiment,difficulty,scenario,model_name,ground_truth,posterior_map,posterior_judgement,prior_judgement,prior_entropy,posterior_entropy_unsmoothed,posterior_entropy,model_specs
3-5cfddbd3ee0b1500019fa84c-pos_chain_2-generic_1,5cfddbd3ee0b1500019fa84c,experiment_3,generic_1,neg_chain,LC_discrete_&_1,[-1  0  0 -1  0  0],[-1.   0.5  0.  -1.   0.   0. ],[-1.   0.   0.5 -0.5  0.   0. ],,13.93156857,7.08E-09,9.238056695,{'smoothing': 2.14706732}
3-5d1a69d8f97a18001977e0d7-crime_1-incongruent,5d1a69d8f97a18001977e0d7,experiment_3,incongruent,crime,LC_discrete_&_1,[ 0.5  0.  -0.5  0.   0.5 -1. ],[ 0.   0.  -0.5  0.   1.  -1. ],[ 0.5  0.  -0.5  0.   1.  -0.5],[-0.5  0.5  0.5 -1.   0.   0. ],13.93156857,0.000498111,12.46993838,{'smoothing': 1.21923674}
3-5d1a69d8f97a18001977e0d7-dampened_2-generic_0,5d1a69d8f97a18001977e0d7,experiment_3,generic_0,dampened,LC_discrete_&_1,[-1.  -0.5  0.  -1.   0.   0. ],[-1.   0.5  0.  -1.   0.   0. ],[-0.5  0.5  0.  -0.5  0.5 -0.5],,13.93156857,2.50E-06,12.4699183,{'smoothing': 1.21923674}
3-5d1a69d8f97a18001977e0d7-finance_1-congruent,5d1a69d8f97a18001977e0d7,experiment_3,congruent,finance,LC_discrete_&_1,[-0.5  1.   0.   0.   0.5 -0.5],[-0.5  1.   0.   0.   0.5 -0.5],[-1.   0.5  0.   0.   0.5 -1. ],[-0.5  1.   0.   0.   0.5 -0.5],13.93156857,1.80E-14,12.46991824,{'smoothing': 1.21923674}
3-5d1a69d8f97a18001977e0d7-pos_chain_2-generic_1,5d1a69d8f97a18001977e0d7,experiment_3,generic_1,neg_chain,LC_discrete_&_1,[-1  0  0 -1  0  0],[-1.   0.5  0.  -1.   0.   0. ],[-0.5  0.5  0.  -0.5  0.   0.5],,13.93156857,3.62E-30,12.46991824,{'smoothing': 1.21923674}
3-5d1c9f75328d1c001af3af0f-crime_0-congruent,5d1c9f75328d1c001af3af0f,experiment_3,congruent,crime,LC_discrete_&_1,[ 1  1  0 -1  0  0],[ 1.   0.5  0.  -0.5  0.   0. ],[ 1.  -0.5  0.  -1.   0.   0. ],[ 1.  1.  0. -1.  0.  0.],13.93156857,1.42E-21,8.72518684,{'smoothing': 2.27359755}
3-5d1c9f75328d1c001af3af0f-dampened_3-generic_0,5d1c9f75328d1c001af3af0f,experiment_3,generic_0,dampened,LC_discrete_&_1,[-1.   0.5  0.   1.   0.   0. ],[-1.   0.5  0.   1.   0.   0. ],[-1.  -0.5  0.   1.   0.   0. ],,13.93156857,0.000329541,8.725223941,{'smoothing': 2.27359755}
3-5d1c9f75328d1c001af3af0f-finance_0-incongruent,5d1c9f75328d1c001af3af0f,experiment_3,incongruent,finance,LC_discrete_&_1,[ 0.  -0.5  0.5  0.5  1.   0. ],[ 0.  -0.5  1.   0.5  1.   0. ],[ 0. -1.  1.  0.  1.  0.],[ 0.5  1.   0.   0.  -0.5  0.5],13.93156857,3.16E-13,8.72518684,{'smoothing': 2.27359755}
3-5d1c9f75328d1c001af3af0f-pos_chain_2-generic_1,5d1c9f75328d1c001af3af0f,experiment_3,generic_1,neg_chain,LC_discrete_&_1,[-1  0  0 -1  0  0],[-1.   0.5  0.  -1.   0.   0. ],[-1.   0.5  0.  -1.   0.   0. ],,13.93156857,1.56E-08,8.725186841,{'smoothing': 2.27359755}
3-5d470786da637a00014ba26f-crime_0-congruent,5d470786da637a00014ba26f,experiment_3,congruent,crime,LC_discrete_&_1,[-0.5  0.5  1.  -1.  -0.5 -1. ],[ 0.  0.  1. -1. -1. -1.],[ 1.  -1.   1.  -0.5 -1.  -1. ],[-0.5  0.5  1.  -1.  -0.5 -1. ],13.93156857,1.07E-08,11.46990899,{'smoothing': 1.55334844}
